[12:38:23] [INFO] received Windows console close event; shutting log-core down
[12:38:40] [INFO] received Windows console close event; shutting log-core down
[12:39:48] [INFO] received Windows console close event; shutting log-core down
[12:40:35] [INFO] received Windows console close event; shutting log-core down
[12:42:27] [INFO] received Windows console close event; shutting log-core down
[12:48:58] [INFO] received Windows console close event; shutting log-core down
[12:55:22] [INFO] received Windows console close event; shutting log-core down
[12:56:09] [INFO] received Windows console close event; shutting log-core down
[12:57:14] [INFO] received Windows console close event; shutting log-core down
[12:57:48] [INFO] received Windows console close event; shutting log-core down
[13:02:01] [INFO] received Windows console close event; shutting log-core down
[13:23:35] [INFO] received Windows console close event; shutting log-core down
[13:30:02] [INFO] received Windows console close event; shutting log-core down
[13:31:29] [INFO] received Windows console close event; shutting log-core down
[13:36:50] [INFO] received Windows console close event; shutting log-core down
[17:33:55] [INFO] received Windows console close event; shutting log-core down
[17:39:50] [INFO] received Windows console close event; shutting log-core down
[17:43:12] [INFO] received Windows console close event; shutting log-core down
[17:43:56] [INFO] received Windows console close event; shutting log-core down
[17:56:08] [INFO] received Windows console close event; shutting log-core down
[17:57:38] [INFO] received Windows console close event; shutting log-core down
[18:06:12] [INFO] received Windows console close event; shutting log-core down
[18:16:14] [INFO] received Windows console close event; shutting log-core down
[18:21:08] [INFO] received Windows console close event; shutting log-core down
[00:07:03] [INFO] received Windows console close event; shutting log-core down
[00:10:48] [INFO] received Windows console close event; shutting log-core down
[00:11:19] [INFO] received Windows console close event; shutting log-core down
[00:17:01] [INFO] received Windows console close event; shutting log-core down
[00:17:44] [INFO] received Windows console close event; shutting log-core down
[00:45:04] [INFO] received Windows console close event; shutting log-core down
[13:43:22] [INFO] received Windows console close event; shutting log-core down
[16:13:23] [INFO] received Windows console close event; shutting log-core down
[16:22:58] [INFO] received Windows console close event; shutting log-core down
[16:39:40] [INFO] received Windows console close event; shutting log-core down
[21:28:25] [INFO] received Windows console close event; shutting log-core down
[21:28:33] [INFO] received Windows console close event; shutting log-core down
[21:29:58] [INFO] received Windows console close event; shutting log-core down
[21:32:31] [INFO] received Windows console close event; shutting log-core down
[23:27:59] [INFO] received Windows console close event; shutting log-core down
[13:37:08] [INFO] received Windows console close event; shutting log-core down
[13:37:41] [INFO] received Windows console close event; shutting log-core down
[14:03:21] [INFO] received Windows console close event; shutting log-core down
[14:13:19] [INFO] received Windows console close event; shutting log-core down
[14:13:20] [INFO] received Windows console close event; shutting log-core down
[14:20:52] [INFO] received Windows console close event; shutting log-core down
[14:21:22] [INFO] received Windows console close event; shutting log-core down
[14:21:43] [INFO] received Windows console close event; shutting log-core down
[14:22:52] [INFO] received Windows console close event; shutting log-core down
[14:24:22] [INFO] received Windows console close event; shutting log-core down
[14:28:57] [INFO] received Windows console close event; shutting log-core down
[14:29:32] [INFO] received Windows console close event; shutting log-core down
[14:42:35] [INFO] received Windows console close event; shutting log-core down
[14:44:12] [INFO] received Windows console close event; shutting log-core down
[14:44:56] [INFO] received Windows console close event; shutting log-core down
